Id,date_new,sum_mets,Calories
2026352035,30-04-16,19435,1506
2320127002,30-04-16,19338,1779
2873212765,30-04-16,20934,1830
3372868164,30-04-16,20816,1946
3977333714,30-04-16,23484,1650
4020332650,30-04-16,14400,1980
4319703577,30-04-16,20698,2092
4388161847,30-04-16,25172,3283
4445114986,30-04-16,20626,2363
4558609924,30-04-16,22588,2105
4702921684,30-04-16,22244,3115
5553957443,30-04-16,15975,1463
5577150313,30-04-16,35621,4501
6117666160,30-04-16,21896,2275
6290855005,30-04-16,19872,2843
6775888955,30-04-16,17836,2280
6962181067,30-04-16,22398,2002
7007744171,30-04-16,18972,2051
7086361926,30-04-16,26472,2995
8053475328,30-04-16,19784,2408
8378563200,30-04-16,17718,2660
8583815059,30-04-16,22564,3164
8792009665,30-04-16,24703,2896
8877689391,30-04-16,35933,4398
1503960366,01-05-16,23282,1820
1624580081,01-05-16,32380,2690
1644430081,01-05-16,19186,2696
1844505072,01-05-16,16476,1541
1927972279,01-05-16,16832,2411
2022484408,01-05-16,22940,2380
2026352035,01-05-16,18677,1447
2320127002,01-05-16,15258,1403
2873212765,01-05-16,19894,1739
3372868164,01-05-16,12472,1237
3977333714,01-05-16,21368,1501
4020332650,01-05-16,14400,1980
4319703577,01-05-16,15767,1593
4388161847,01-05-16,22440,2926
4445114986,01-05-16,19604,2246
4558609924,01-05-16,18164,1692
4702921684,01-05-16,14400,2017
5553957443,01-05-16,19075,1747
5577150313,01-05-16,35981,4546
6117666160,01-05-16,22718,2361
6290855005,01-05-16,23278,3327
6775888955,01-05-16,18143,2319
6962181067,01-05-16,19365,1740
7007744171,01-05-16,20586,2225
7086361926,01-05-16,24118,2730
8053475328,01-05-16,15490,1886
8378563200,01-05-16,22444,3369
8583815059,01-05-16,17560,2596
8792009665,01-05-16,16737,1962
8877689391,01-05-16,22786,2786
1503960366,02-05-16,25655,2004
1624580081,02-05-16,18016,1497
1644430081,02-05-16,18048,2580
1844505072,02-05-16,14408,1348
1927972279,02-05-16,17485,2505
2022484408,02-05-16,23841,2473
2026352035,02-05-16,21808,1690
2320127002,02-05-16,17538,1613
2873212765,02-05-16,21484,1878
3977333714,02-05-16,25059,1760
4020332650,02-05-16,16052,2207
4319703577,02-05-16,22402,2270
4388161847,02-05-16,24130,3147
4445114986,02-05-16,20385,2336
4558609924,02-05-16,22311,2066
4702921684,02-05-16,20410,2859
5553957443,02-05-16,21881,1996
5577150313,02-05-16,23851,3014
6117666160,02-05-16,19649,2044
6290855005,02-05-16,19044,2725
6775888955,02-05-16,14401,1841
6962181067,02-05-16,24104,2162
7007744171,02-05-16,24436,2642
7086361926,02-05-16,24337,2754
8053475328,02-05-16,16377,1988
8378563200,02-05-16,23250,3491
8583815059,02-05-16,14400,2894
8792009665,02-05-16,17173,2015
8877689391,02-05-16,17881,2189
1503960366,03-05-16,25477,1990
1624580081,03-05-16,16056,1334
1644430081,03-05-16,23632,3324
1844505072,03-05-16,18626,1742
1927972279,03-05-16,15327,2195
2022484408,03-05-16,26523,2752
2026352035,03-05-16,20698,1604
2320127002,03-05-16,20422,1878
2873212765,03-05-16,21796,1906
3977333714,03-05-16,24329,1710
4020332650,03-05-16,20540,2828
4319703577,03-05-16,22115,2235
4388161847,03-05-16,25225,3290
4445114986,03-05-16,21126,2421
4558609924,03-05-16,21090,1953
4702921684,03-05-16,22442,3145
5553957443,03-05-16,23172,2116
5577150313,03-05-16,30034,3795
6117666160,03-05-16,14400,1496
6290855005,03-05-16,18668,2671
6775888955,03-05-16,14418,1843
6962181067,03-05-16,23179,2072
7007744171,03-05-16,27528,2976
7086361926,03-05-16,24335,2754
8053475328,03-05-16,24903,3023
8378563200,03-05-16,25204,3784
8583815059,03-05-16,14400,3212
8792009665,03-05-16,19594,2297
8877689391,03-05-16,23089,2817
1503960366,04-05-16,23287,1819
1624580081,04-05-16,16472,1368
1644430081,04-05-16,15818,2222
1844505072,04-05-16,16562,1549
1927972279,04-05-16,16324,2338
2022484408,04-05-16,25534,2649
2026352035,04-05-16,21396,1658
2320127002,04-05-16,15508,1426
2873212765,04-05-16,23042,2015
3977333714,04-05-16,23051,1628
4020332650,04-05-16,28154,3879
4319703577,04-05-16,22582,2282
4388161847,04-05-16,24244,3162
4445114986,04-05-16,18069,2070
4558609924,04-05-16,19896,1842
4702921684,04-05-16,21446,3004
5553957443,04-05-16,18613,1698
5577150313,04-05-16,21792,2755
6117666160,04-05-16,18301,1902
6290855005,04-05-16,18998,2718
6775888955,04-05-16,14400,1841
6962181067,04-05-16,23323,2086
7007744171,04-05-16,14405,1557
7086361926,04-05-16,23462,2655
8053475328,04-05-16,24024,2918
8378563200,04-05-16,20712,3110
8583815059,04-05-16,14400,2516
8792009665,04-05-16,17628,2067
8877689391,04-05-16,28577,3477
1503960366,05-05-16,25082,1959
1624580081,05-05-16,16496,1370
1644430081,05-05-16,17533,2463
1844505072,05-05-16,16992,1589
1927972279,05-05-16,14400,2063
2022484408,05-05-16,25145,2609
2026352035,05-05-16,24855,1926
2320127002,05-05-16,19356,1780
2873212765,05-05-16,22543,1971
3977333714,05-05-16,23027,1618
4020332650,05-05-16,24915,3429
4319703577,05-05-16,25028,2530
4388161847,05-05-16,22231,2899
4445114986,05-05-16,18507,2120
4558609924,05-05-16,24418,2262
4702921684,05-05-16,21450,3006
5553957443,05-05-16,23628,2156
5577150313,05-05-16,23779,3004
6117666160,05-05-16,25369,2636
6290855005,05-05-16,18748,2682
